first_frame,last_frame
7914,7914
7916,7955
7959,7975
7977,7977
7979,8174
8181,8321
16526,16526
34171,34192
82519,82571
82573,82581
82583,82605
82607,82608
82641,82873
83817,83866
149197,149288
149290,149292
149294,149295
149297,149297
149301,149302
149308,149308
149310,149310
149314,149314
149318,149318
149320,149320
149328,149328
149334,149348
149372,149372
149426,149427
149433,149436
149439,149439
149455,149455
149457,149457
149464,149464
149521,149523
149538,149538
149541,149541
149543,149543
149550,149550
149556,149556
149560,149560
149562,149562
149592,149594
149614,149614
149665,149667
149782,149784
150051,150054
180094,180253
232632,232989
232994,232999
278134,278157
278169,278825
278827,278832
278834,278836
278838,293672
311466,311499
311729,311784
311847,311850
311852,311853
311855,311855
311857,311859
311861,311862
311886,311963
311976,311998
312004,312004
312006,312006
312010,312010
312151,312151
312590,312591
312620,312620
312655,312659
312661,312661
313022,313458
313829,313936
352914,353010
353517,353521
354104,354110
354113,354115
354119,354121
358748,358778
363645,363902
364906,364922
364924,365009
390492,390492
394580,394580
394582,394582
403501,412512
412698,415989
416503,420559
436562,447623
447626,449614
485214,485214
485219,488131
488226,488564
488567,488567
488594,488598
488602,488627
488681,488700
488758,488762
488764,488773
488776,488777
488779,488779
488782,488782
488784,488784
488787,488787
488790,488791
488795,488795
488800,488800
488803,488804
488814,488814
488817,488820
488822,488824
488827,488827
488829,488833
488836,488836
488838,488845
488847,488847
489101,501500
502303,502304
624668,625649
639017,639119
640296,640296
640362,640370
640376,640379
640381,642179
642264,646085
738560,738688
901469,901568
947646,947652
947657,947693
955900,958886
1031565,1031620
1080258,1080349
1080547,1080611
1081158,1081158
1081160,1081509
1081753,1081753
1082127,1083230
1083643,1083862
1102531,1102746
1158287,1158692
1194237,1194241
1232450,1282758
1286111,1286164
1298932,1305903
1330465,1330823
1330825,1330830
1330834,1330969
1330972,1330984
1330986,1330987
1330989,1330992
1330994,1330995
1331001,1331226
1349613,1349613
1349846,1349846
1349848,1349848
1350602,1350607
1350610,1350613
1350615,1350616
1350618,1350618
1350620,1350625
1350628,1350628
1350631,1350632
1350634,1350634
1350636,1350637
1350639,1350639
1350641,1350644
1350646,1350652
1350655,1350657
1350660,1350660
1350662,1354004
1354006,1354008
1354010,1354010
1354012,1354014
1354016,1354023
1354025,1354040
1354042,1354042
1354044,1354051
1354053,1354053
1354055,1354059
1354061,1354065
1354067,1354070
1354072,1354081
1354083,1354091
1354093,1354094
1354097,1354097
1354099,1354101
1354103,1354105
1354108,1354111
1354113,1354114
1354116,1354120
1354123,1354124
1354126,1354129
1354131,1354133
1354135,1354136
1354138,1354140
1354142,1354147
1354149,1354149
1354152,1354152
1354154,1354154
1354156,1354156
1354158,1354160
1354163,1354163
1354166,1354168
1354170,1354170
1354172,1354172
1354174,1354175
1354178,1354179
1354181,1354181
1354183,1354184
1354186,1354188
1354190,1354192
1354194,1354194
1354197,1354197
1354199,1354203
1354205,1354205
1354207,1354208
1354210,1354218
1354221,1354221
1354224,1354224
1354227,1354229
1354231,1354235
1354238,1354240
1354246,1354247
1354249,1354249
1354251,1354259
1354262,1354265
1354267,1354273
1354275,1354275
1354277,1354278
1354280,1354282
1354284,1354288
1354290,1354291
1354293,1354294
1354296,1354296
1354299,1354303
1354305,1354310
1354314,1354335
1354337,1354337
1354339,1354339
1354341,1354343
1354345,1354349
1354351,1354358
1354361,1354366
1354368,1354369
1354371,1354371
1354373,1354376
1354378,1354392
1354396,1354397
1354400,1354401
1354405,1354406
1354408,1354417
1354419,1354425
1354428,1354440
1354442,1354447
1354449,1354449
1354453,1354454
1354460,1354460
1354462,1354463
1354465,1354465
1354467,1354468
1354471,1354471
1354473,1354474
1354476,1354478
1354482,1354482
1354484,1354484
1354486,1354486
1354489,1354489
1354491,1354492
1354496,1354501
1354503,1354508
1354513,1354515
1354517,1354517
1354520,1354520
1354524,1354538
1354540,1354542
1354545,1363999
1364007,1364007
1387501,1387501
1387791,1387861
1387971,1388036
1388159,1388221
1388317,1388340
1388739,1388827
1389018,1389043
1389356,1390397
