previous_frame,current_frame
7916,7917
7919,7920
7920,7921
7923,7924
7929,7930
7932,7933
7935,7936
8007,8008
8165,8166
8193,8194
8197,8198
8199,8200
8200,8201
8242,8243
34181,34182
34191,34192
82584,82585
82585,82586
82704,82705
82721,82722
82722,82723
82849,82850
83825,83826
83829,83830
149235,149236
149236,149237
149238,149239
149241,149242
149242,149243
149243,149244
149258,149259
149272,149273
149783,149784
180099,180100
180100,180101
180111,180112
180114,180115
180116,180117
180120,180121
180122,180123
180123,180124
278137,278138
278138,278139
278140,278141
278143,278144
278144,278145
278146,278147
278148,278149
278149,278150
278152,278153
278153,278154
278169,278170
278172,278173
278768,278769
278771,278772
278776,278777
278782,278783
278783,278784
278784,278785
278785,278786
278793,278794
278800,278801
278808,278809
278813,278814
278814,278815
278817,278818
278818,278819
278820,278821
278822,278823
278823,278824
278828,278829
278829,278830
278831,278832
278834,278835
278839,278840
278844,278845
278845,278846
278848,278849
278850,278851
278852,278853
278853,278854
278854,278855
278855,278856
278857,278858
278858,278859
278860,278861
278861,278862
278866,278867
278867,278868
278879,278880
278881,278882
278889,278890
278890,278891
278892,278893
278893,278894
278900,278901
278901,278902
278902,278903
278903,278904
278912,278913
278913,278914
278916,278917
278918,278919
278926,278927
278927,278928
280163,280164
280164,280165
290600,290601
291577,291578
291578,291579
415620,415621
415621,415622
415857,415858
415858,415859
415859,415860
415860,415861
415862,415863
415869,415870
415922,415923
415923,415924
415944,415945
415945,415946
415947,415948
415950,415951
420426,420427
436748,436749
436749,436750
436756,436757
436757,436758
436760,436761
436763,436764
436764,436765
436766,436767
437183,437184
443399,443400
443559,443560
443560,443561
443766,443767
443767,443768
446053,446054
446054,446055
447676,447677
447677,447678
447678,447679
447679,447680
448256,448257
448258,448259
448265,448266
448266,448267
448270,448271
448271,448272
486030,486031
486031,486032
487057,487058
487058,487059
487174,487175
487175,487176
487176,487177
487177,487178
487437,487438
487438,487439
488006,488007
488007,488008
488012,488013
488013,488014
491429,491430
491430,491431
491531,491532
491532,491533
492180,492181
492181,492182
492275,492276
492276,492277
493067,493068
493068,493069
624682,624683
624683,624684
624864,624865
625033,625034
625048,625049
625140,625141
625171,625172
625172,625173
625179,625180
625459,625460
625618,625619
640369,640370
640388,640389
640525,640526
640811,640812
640814,640815
640815,640816
640816,640817
640817,640818
640822,640823
640823,640824
640825,640826
640826,640827
640831,640832
640832,640833
640851,640852
640852,640853
640858,640859
640859,640860
640861,640862
640862,640863
640863,640864
641031,641032
641032,641033
641050,641051
641051,641052
641053,641054
641054,641055
641055,641056
641057,641058
641092,641093
641093,641094
641103,641104
