ID,FRAMENUMBER,ANIMALID,MASS_X,MASS_Y,MASS_Z,FRONT_X,FRONT_Y,FRONT_Z,BACK_X,BACK_Y,BACK_Z,REARING,LOOK_UP,LOOK_DOWN,DATA
5473148,2419290,2,248.87,340.2,101.72,248.48,361.39,58.32,249.27,319.01,22.78,1,0,0,"<root><DATA back_x=""249.27"" back_y=""319.01"" back_z=""22.78"" ear1_ratio=""0.76"" ear1_x=""243.89"" ear1_y=""351.17"" ear2_ratio=""0.84"" ear2_x=""253.36"" ear2_y=""354.79"" front_x=""248.48"" front_y=""361.39"" front_z=""58.32"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""248.87"" mass_y=""340.2"" mass_z=""101.72"" t=""2419290""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515104</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>237</boundsX><boundsY>313</boundsY><boundsW>26</boundsW><boundsH>53</boundsH><boolMaskData>78:5e:ad:d3:51:e:c0:20:8:3:d0:71:ff:4b:4f:54:10:a5:35:d1:e8:97:f1:ad:c8:32:f6:7d:b6:44:7c:bb:6c:2e:44:ca:c2:e5:54:30:51:a9:80:42:1d:0:b9:a4:1c:95:8:53:83:13:44:99:21:c8:2:a1:bf:24:96:ca:d0:53:8:1a:9d:4a:b9:a:47:b4:dc:4b:91:4d:b5:d:f1:16:58:a8:4c:18:9:dd:88:7e:a:5c:4e:27:19:4a:1b:71:44:54:fa:5f:1:32:54:3a:80:16:a8:18:a4:8c:c3:81:8c:c9:4e:5d:d3:7b:9e:66:46:d3:6b:d7:44:ca:63:50:c2:61:dd:fa:fb:ac:e0:92:c0:42:0:34:94:8f:7f:70:5f:3:46</boolMaskData></ROI></root>"
5473358,2419290,,179.12,88.81,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""179.12"" mass_y=""88.81"" mass_z=""46"" t=""2419290""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515103</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>154</boundsX><boundsY>62</boundsY><boundsW>56</boundsW><boundsH>49</boundsH><boolMaskData>78:5e:9d:94:47:16:c0:20:8:44:cd:fd:2f:1d:11:b0:50:14:c8:22:c9:53:3e:c3:60:69:8d:9e:ef:fb:f8:37:f3:2d:62:ad:ca:b5:4a:95:5d:2c:ad:87:c:60:49:c5:9:e6:b8:85:e5:38:e8:24:3d:99:75:6b:c4:15:16:62:a8:21:9e:51:44:6c:95:1b:64:97:3d:d3:26:ed:5a:dd:33:c5:ed:7a:6c:40:bb:27:63:1b:2d:38:50:22:2b:a7:3:29:28:39:6:a5:6f:c1:79:d8:c3:a1:aa:85:cb:b4:8e:f5:92:14:c5:40:5f:78:67:68:93:ba:29:30:d2:cf:7:7e:e6:b4:3c:31:82:e3:c4:b2:d5:20:ac:dc:6f:ac:f7:ab:ac:7b:81:c7:b8:76:1e:c2:7a:d0:41:46:21:36:cd:70:95:e3:f3:b3:ce:d1:25:d3:56:e9:25:ca:9a:ea:6b:41:ab:68:cc:fa:da:b8:79:86:ac:c1:f9:43:45:e:b7:1e:b9:3c:b2:7:a:e0:e6:2c:e:a0:40:e1:42:4f:e7:b1:7d:72:1c:75:26:8a:ad:ed:6:69:45:12:5b:9:47:67:e8:f9:73:43:c6:5c:95:73:c8:bb:1e:88:d9:9a:57:e:31:79:cf:60:e5:37:70:44:38:e:1f:9c:63:f:eb:3f:58:14:41:57:73:2:6b:b:bd:e1:4a:ad:70:fe:c5:fd:92:65:b5:57:9c:98:2f:62:b3:ce:a4:1c:87:8f:f5:fb:1:36:c2:4:e0</boolMaskData></ROI></root>"
5473149,2419291,2,248.56,339.9,94.2,247.06,361.13,52.65,250.05,318.67,21.45,1,0,0,"<root><DATA back_x=""250.05"" back_y=""318.67"" back_z=""21.45"" ear1_ratio=""0.75"" ear1_x=""242.89"" ear1_y=""350.17"" ear2_ratio=""0.85"" ear2_x=""252.5"" ear2_y=""355"" front_x=""247.06"" front_y=""361.13"" front_z=""52.65"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""248.56"" mass_y=""339.9"" mass_z=""94.2"" t=""2419291""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515119</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>237</boundsX><boundsY>314</boundsY><boundsW>25</boundsW><boundsH>51</boundsH><boolMaskData>78:5e:d5:92:cb:16:80:20:8:44:e5:ff:7f:3a:29:1e:81:8c:47:3d:6d:6a:a5:33:5d:1e:42:6b:fa:11:91:9d:c3:1:19:5d:af:91:b9:51:64:b9:81:2a:98:19:9:52:3d:53:41:7f:31:51:f7:aa:93:ee:6d:2f:2:56:73:fe:9f:ef:1c:ad:d2:b1:c1:4e:49:70:30:64:0:9d:10:70:62:a0:58:b8:2a:44:4c:1a:41:c8:7e:12:44:ec:4f:e4:33:e2:59:ad:71:56:b2:72:83:a1:ab:f8:2f:63:b9:5a:6d:2f:cc:dc:c4:f4:ea:41:77:22:ca:fd:26:d9:7:5d:8c:ac:5f:e:c1:3:58</boolMaskData></ROI></root>"
5473359,2419291,,179.08,88.71,48.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""179.08"" mass_y=""88.71"" mass_z=""48.8"" t=""2419291""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515118</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>154</boundsX><boundsY>61</boundsY><boundsW>56</boundsW><boundsH>50</boundsH><boolMaskData>78:5e:bd:94:4b:2:c3:20:8:44:cd:fd:2f:5d:e5:23:23:e0:77:51:37:35:c2:63:6:62:5a:8a:ac:4f:37:b7:bf:df:13:f9:95:27:ac:94:27:b9:aa:75:c9:91:bb:8f:d6:dd:40:98:b9:e7:44:ec:1a:34:bd:bf:1b:cd:7:33:1d:18:f:93:fd:46:74:3a:68:c6:74:3c:1:9c:75:d:73:c9:25:49:30:d2:4b:ae:31:cc:f9:2e:e9:7c:58:e8:b4:5:f4:3e:b9:e:3c:6:8e:24:24:a0:ef:7c:23:37:d3:eb:3e:79:23:55:69:14:54:51:6d:fa:6:3:47:46:1b:c7:cb:38:a9:d2:fd:a2:d1:91:a1:4c:b:d7:2d:36:39:72:c1:5e:f:fb:6f:1b:b9:d5:1e:b5:7a:1b:2b:80:62:23:75:ce:79:72:2b:4:9:a0:79:83:65:d3:c:d7:34:2d:f8:2a:48:d7:88:57:5a:77:76:58:11:9d:cf:2c:25:3d:7:ee:ac:31:ae:c2:77:3d:33:ba:7b:9f:70:45:cd:10:15:4a:fd:e1:a1:c8:f5:c4:d3:31:d:9c:3e:ec:e5:e0:e5:e3:d5:3b:b6:d9:95:6e:7d:8e:e0:56:cf:7f:17:82:6f:38:f9:e3:71:26:eb:e3:9a:6b:f9:2d:e3:8d:8b:54:2e:68:26:28:4e:a2:91:d:4e:39:85:dc:59:2c:72:fd:64:ac:49:6d:1d:71:be:24:1a:f1:b1:e5:b3:82:cb:a4:24:f8:ca:69:7b:49:c9:cd:91:8d:ea:7:ff:b5:5:4</boolMaskData></ROI></root>"
5473150,2419292,2,248.44,339.6,93.2,246.58,360.87,55.0,250.31,318.32,21.9,1,0,0,"<root><DATA back_x=""250.31"" back_y=""318.32"" back_z=""21.9"" ear1_ratio=""0.74"" ear1_x=""242.82"" ear1_y=""349.29"" ear2_ratio=""0.84"" ear2_x=""251.95"" ear2_y=""354.32"" front_x=""246.58"" front_y=""360.87"" front_z=""55"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""248.44"" mass_y=""339.6"" mass_z=""93.2"" t=""2419292""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515130</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>237</boundsX><boundsY>312</boundsY><boundsW>25</boundsW><boundsH>53</boundsH><boolMaskData>78:5e:ad:94:59:e:80:20:c:5:cb:fd:2f:ad:54:ca:d6:37:44:13:fd:22:33:3e:da:e2:62:d6:af:52:c6:7a:59:15:30:c4:8d:c4:cd:f5:56:28:ea:56:2a:e2:58:99:10:29:34:c4:a2:66:3c:8b:95:8f:93:21:fe:34:3a:d9:38:c1:2d:d0:7b:ce:bc:95:27:a1:78:8d:68:5e:3b:26:3:bc:50:e0:20:28:c2:c5:c9:60:bf:28:4e:b3:c3:88:87:e2:30:9:55:af:8f:57:16:21:e1:ef:83:4a:90:70:2e:12:f:cf:a2:f1:24:82:a3:c8:4d:51:89:f8:c:7e:48:7c:2b:d1:67:58:4e:64:a6:6f:c4:76:7f:1c:6e:c2:be:97:89:bf:e1:5:b:46:3:4c</boolMaskData></ROI></root>"
5473360,2419292,,178.87,88.9,46.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""178.87"" mass_y=""88.9"" mass_z=""46.84"" t=""2419292""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515129</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>153</boundsX><boundsY>65</boundsY><boundsW>57</boundsW><boundsH>45</boundsH><boolMaskData>78:5e:a5:95:59:16:c3:20:8:45:cd:fe:37:5d:99:64:10:c:a6:f9:68:15:b8:bc:87:a6:a7:63:d0:f3:3c:f:af:9a:5f:54:3f:b1:6b:72:10:f4:1f:d9:74:a9:d3:89:e8:1d:a8:5e:2f:39:6:e1:eb:b:39:84:9f:8b:2e:cf:7:ba:6:6d:2b:9b:fb:a0:a5:55:3c:74:39:72:34:0:74:8a:3:6c:98:97:80:34:50:f3:33:92:72:2a:da:41:9d:72:8c:c8:57:d0:4f:b8:14:b3:61:bd:dd:8:b2:9e:74:88:e9:5:43:42:bb:63:b9:6b:6c:41:9b:21:ce:96:9a:ac:e9:88:bc:ef:c8:bb:18:67:6d:23:38:f:ba:f9:38:97:fb:6d:54:5d:2:d6:96:43:ab:ee:a9:14:b2:b8:5:b3:7c:19:cb:14:7b:9e:3f:4b:c2:eb:20:70:e9:2b:4d:80:31:26:d3:7c:15:9c:8c:7b:1f:ab:ba:18:47:ee:a3:57:73:9d:ab:2d:78:ef:bc:80:f1:74:70:1f:cd:25:7b:e1:b8:98:b7:49:61:c:29:78:37:b0:e1:ec:32:b6:4f:f6:39:99:14:ee:a1:c:dd:ab:62:c4:5d:65:38:a8:58:ab:7b:28:dc:7e:98:48:d7:c:66:32:93:1c:cb:49:e9:58:f8:24:76:47:25:6e:1d:1d:b4:b7:bf:99:e9:d4:4f:7b:82:5d:ce:7a:69:43:58:28:e4:1d:a5:e0:35:27:8a:0:fe:0:2:11:5:0</boolMaskData></ROI></root>"
5473151,2419293,2,248.24,339.75,93.28,245.65,360.74,52.19,250.84,318.76,21.45,1,0,0,"<root><DATA back_x=""250.84"" back_y=""318.76"" back_z=""21.45"" ear1_ratio=""0.74"" ear1_x=""242.37"" ear1_y=""349.32"" ear2_ratio=""0.84"" ear2_x=""251.5"" ear2_y=""354.75"" front_x=""245.65"" front_y=""360.74"" front_z=""52.19"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""248.24"" mass_y=""339.75"" mass_z=""93.28"" t=""2419293""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515145</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>237</boundsX><boundsY>312</boundsY><boundsW>25</boundsW><boundsH>52</boundsH><boolMaskData>78:5e:9d:93:5b:12:c0:20:8:3:cb:fd:2f:5d:1f:a8:d0:24:ce:d0:7e:d9:dd:2:b1:a3:cf:b3:1f:3b:cb:bc:32:65:94:30:21:1a:e7:46:89:c1:59:89:b:c:b6:4:98:2d:3e:ed:2:4f:35:91:47:91:78:10:99:9f:d0:c0:bd:6:b9:7:63:a2:d7:50:ae:45:33:bc:c2:14:ff:23:54:af:7a:de:7a:c5:65:87:3a:16:ff:27:fd:bc:53:53:16:e3:e6:b0:56:57:51:29:18:8d:c8:88:c9:51:38:af:b:c:a5:46:e8:23:ad:c2:ae:8b:3:33:78:da:45:d3:c6:3:bc:f0:bd:ef:fc:79:7f:9b:c3:91:bf:9f:26:3:46</boolMaskData></ROI></root>"
5473361,2419293,,177.3,87.98,44.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""177.3"" mass_y=""87.98"" mass_z=""44.08"" t=""2419293""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515144</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>154</boundsX><boundsY>64</boundsY><boundsW>51</boundsW><boundsH>41</boundsH><boolMaskData>78:5e:bd:93:51:12:c3:20:8:44:cd:fd:2f:5d:91:45:41:30:60:3b:d3:7c:b4:16:f6:b1:40:6c:6b:fc:3c:cf:83:53:f5:ab:13:df:20:65:86:ea:e3:a9:b6:d4:ee:91:ff:b8:34:ee:8c:3e:cb:b3:30:83:91:6a:d4:18:6:5e:35:2b:35:3e:8e:c6:89:b:da:a6:1d:e2:9:96:cc:b8:23:cc:12:28:db:a5:6c:b5:6a:ed:90:76:11:2d:50:49:65:48:ea:62:26:a1:96:84:e0:53:e4:d3:55:8a:1a:a3:98:36:90:54:31:8a:a0:f0:38:76:64:65:d5:d:71:88:bc:6:3b:26:da:dc:6c:b7:1e:76:c4:77:65:15:ee:d7:9c:d1:65:ce:81:6b:93:5e:8a:99:73:cd:20:63:6d:ec:f6:3:39:85:7e:76:39:d4:dd:c2:d7:36:b8:17:6f:ef:d2:39:93:89:bb:75:4e:a5:3:42:ac:55:71:e4:15:92:b5:41:34:46:4b:1:de:f4:90:f1:2e:aa:88:fa:1b:94:11:38:d4:1a:53:e2:e2:28:3b:91:f7:e5:88:74:63:1:91:d9:dc:20:ec:1f:11:61:67:10:ce:77:f7:1:5a:23:4:a5</boolMaskData></ROI></root>"
5473152,2419294,2,248.08,339.84,95.76,245.37,360.92,47.53,250.8,318.77,22.21,1,0,0,"<root><DATA back_x=""250.8"" back_y=""318.77"" back_z=""22.21"" ear1_ratio=""0.75"" ear1_x=""241.52"" ear1_y=""349.86"" ear2_ratio=""0.85"" ear2_x=""250.62"" ear2_y=""355.14"" front_x=""245.37"" front_y=""360.92"" front_z=""47.53"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""248.08"" mass_y=""339.84"" mass_z=""95.76"" t=""2419294""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515155</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>237</boundsX><boundsY>311</boundsY><boundsW>25</boundsW><boundsH>53</boundsH><boolMaskData>78:5e:ad:93:51:e:c0:20:8:43:e1:fe:97:1e:73:8a:82:ad:9:66:fb:72:7d:b6:c5:b8:89:f8:a3:73:19:56:aa:9c:60:b:75:5c:1:d8:6e:49:30:ec:d3:f7:89:87:ae:92:e2:1c:e4:bc:15:ac:c7:64:86:a0:cf:92:28:db:db:c8:62:60:d3:87:87:1:a4:b7:9a:22:30:b:76:1c:0:31:1c:1c:f5:e:36:16:3d:e1:bf:ed:f8:88:ef:2d:42:c2:74:7a:21:2c:a9:7d:27:a8:82:81:a3:e:92:da:7e:54:71:b:c0:b0:ac:a2:ff:5:5:7:19:ca:7f:e7:25:aa:6f:cd:8e:28:fb:c1:b3:dc:c1:2e:8b:3c:b3:a8:3:52</boolMaskData></ROI></root>"
5473362,2419294,,177.21,87.91,45.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""177.21"" mass_y=""87.91"" mass_z=""45.24"" t=""2419294""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>74515157</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>153</boundsX><boundsY>62</boundsY><boundsW>53</boundsW><boundsH>44</boundsH><boolMaskData>78:5e:ad:94:41:16:c3:20:8:44:cd:fd:2f:dd:0:12:6:22:11:7c:cd:a2:b5:61:3e:8c:a0:1d:e3:79:ae:cb:d6:c5:d5:75:c0:8c:13:e8:66:ea:ee:44:4a:48:3:1a:e4:4b:9f:e2:f6:49:76:2:9d:30:50:a9:e1:ee:c8:de:2c:a5:6c:56:2e:c:84:37:65:2e:3d:a5:da:38:44:eb:84:ac:1c:75:a7:a3:94:71:88:91:71:39:31:8:c9:5e:cc:b:d2:51:6:7:1e:b4:e0:7c:3f:a9:2f:28:63:5e:e:a0:54:ca:70:2f:8c:74:ee:c0:c4:ec:9c:3b:d3:4b:8a:98:3b:20:79:f8:b:4f:c:5a:74:ee:60:f7:a0:67:1c:dc:85:90:33:eb:7e:38:e7:b9:c:23:d8:f1:1a:61:9e:99:6d:41:da:88:16:f4:58:d4:ca:15:3a:42:15:66:39:d9:1d:28:4d:68:76:42:3b:d7:ea:df:84:9a:a5:f8:54:6a:3d:9b:dd:6e:5b:14:c7:4a:21:43:8a:b3:4e:ef:41:d5:aa:41:88:a7:35:24:20:52:fb:dc:c8:ff:7:15:a:45:6f:4f:4b:3e:d8:5:b3:bf:5c:2b:68:4b:2d:a1:f5:4d:26:a9:ff:2f:4a:60:79:d:37:8:74:3f:c6:a5:4:dd</boolMaskData></ROI></root>"
