ID,FRAMENUMBER,ANIMALID,MASS_X,MASS_Y,MASS_Z,FRONT_X,FRONT_Y,FRONT_Z,BACK_X,BACK_Y,BACK_Z,REARING,LOOK_UP,LOOK_DOWN,DATA
1000,52,3,390.52,344.57,53.16,392.42,365.38,70.08,388.62,323.75,19.5,0,0,0,"<root><DATA back_x=""388.62"" back_y=""323.75"" back_z=""19.5"" ear1_ratio=""0.72"" ear1_x=""386.25"" ear1_y=""354.13"" ear2_ratio=""0.76"" ear2_x=""396.17"" ear2_y=""355.17"" front_x=""392.42"" front_y=""365.38"" front_z=""70.08"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""390.52"" mass_y=""344.57"" mass_z=""53.16"" t=""52""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>255</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>379</boundsX><boundsY>321</boundsY><boundsW>22</boundsW><boundsH>50</boundsH><boolMaskData>78:5e:cd:d2:4b:e:80:30:8:4:50:b8:ff:a5:a5:50:90:5f:93:12:37:ba:aa:cf:c9:88:ad:0:7a:a1:ad:fc:a2:55:c4:86:9:ab:2e:4c:2c:14:1f:78:b3:7c:42:29:cf:28:f5:f7:8a:d0:65:a9:bb:e3:99:8e:2a:ba:f0:da:f7:3a:c6:6f:95:7f:93:32:6f:8b:7c:76:25:7a:38:d1:73:6f:ad:18:67:3f:55:f0:db:f2:87:6c:8c:c5:8a:17:6a:d1:58:fc:b2:db:37:97:75:cd:5e:8d:3:8e:74:87:63:1:dd:f1:1c:45:89:d5:1e:36:8:2:c9</boolMaskData></ROI></root>"
1001,53,3,391.14,344.82,58.4,394.24,365.96,75.64,388.05,323.68,19.53,0,0,0,"<root><DATA back_x=""388.05"" back_y=""323.68"" back_z=""19.53"" ear1_ratio=""0.71"" ear1_x=""387.11"" ear1_y=""354.44"" ear2_ratio=""0.75"" ear2_x=""397.33"" ear2_y=""354.89"" front_x=""394.24"" front_y=""365.96"" front_z=""75.64"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""391.14"" mass_y=""344.82"" mass_z=""58.4"" t=""53""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>259</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>379</boundsX><boundsY>321</boundsY><boundsW>23</boundsW><boundsH>50</boundsH><boolMaskData>78:5e:b5:d1:4b:e:c0:20:8:4:50:bd:ff:a5:6b:f9:28:20:43:d8:e8:a6:e6:75:3a:92:3a:86:ac:39:75:e7:9e:90:93:f8:a4:75:d5:30:7b:17:b:1f:58:dd:79:87:bb:3f:aa:bc:e8:f3:3f:68:92:a6:63:13:7:fc:36:4e:bf:b2:3f:4c:91:4e:5a:40:79:ce:a4:77:49:c5:f7:dc:79:7:5f:f4:9b:34:cf:d7:9e:bb:1c:a5:db:22:67:86:b8:aa:e7:ad:88:9d:9f:34:62:eb:26:8d:f8:b8:d:af:bd:de:46:8f:35:1e:d2:88:b9:9e:c2:1f:84:d2:2:d3</boolMaskData></ROI></root>"
1002,54,3,391.86,345.31,52.68,395.97,366.68,74.56,387.74,323.95,20.45,0,0,0,"<root><DATA back_x=""387.74"" back_y=""323.95"" back_z=""20.45"" ear1_ratio=""0.72"" ear1_x=""388.67"" ear1_y=""355.58"" ear2_ratio=""0.75"" ear2_x=""398.5"" ear2_y=""355"" front_x=""395.97"" front_y=""366.68"" front_z=""74.56"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""391.86"" mass_y=""345.31"" mass_z=""52.68"" t=""54""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>265</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>379</boundsX><boundsY>320</boundsY><boundsW>24</boundsW><boundsH>52</boundsH><boolMaskData>78:5e:d5:93:4b:e:80:20:c:5:e9:fd:2f:ad:f6:43:ff:1:8c:1b:5d:91:99:d7:42:9:8e:31:3f:d0:a5:5d:c1:19:87:3a:7f:e3:4a:20:4e:82:69:10:4a:9d:70:58:5b:5:2c:25:19:d3:78:5:47:d1:f1:4a:d0:ad:15:15:28:3a:de:8a:83:82:cf:76:6e:1a:11:2e:4e:da:e4:f9:c9:e4:9:fe:95:cf:3:bf:bc:88:ed:46:dc:3f:e6:5:c7:57:b4:e6:be:93:e6:5b:ee:84:c9:5b:6e:b1:3d:92:e7:5a:11:f8:14:91:8b:d8:e6:54:90:e2:f:e0:1f:fe:2:fd:f1:2:d9</boolMaskData></ROI></root>"
1003,55,3,392.74,346.26,54.48,398.02,368.73,75.32,387.46,323.79,19.11,0,0,0,"<root><DATA back_x=""387.46"" back_y=""323.79"" back_z=""19.11"" ear1_ratio=""0.74"" ear1_x=""399.89"" ear1_y=""356.11"" ear2_ratio=""0.72"" ear2_x=""390.2"" ear2_y=""357.3"" front_x=""398.02"" front_y=""368.73"" front_z=""75.32"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""392.74"" mass_y=""346.26"" mass_z=""54.48"" t=""55""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>272</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>379</boundsX><boundsY>320</boundsY><boundsW>26</boundsW><boundsH>54</boundsH><boolMaskData>78:5e:d5:94:d1:e:80:20:8:45:f5:ff:7f:ba:6c:22:97:2b:d7:95:6b:6b:f9:c4:3c:3b:2:4a:95:32:56:f5:90:22:49:ea:82:e4:a8:b6:95:25:ba:40:c2:6c:9f:2d:df:27:2b:2:d0:18:38:92:64:6:43:4a:50:6f:2b:21:d6:71:82:b4:64:b7:f4:a5:a4:6b:f0:b1:e1:fa:fe:49:c6:50:72:3b:3e:ad:af:90:c5:71:ba:84:ad:51:95:6f:7:9f:1f:b5:74:8b:94:20:81:72:86:88:34:89:3f:80:ad:e3:30:53:4c:4:84:0:94:37:11:b7:34:7a:42:7a:ae:59:69:3b:fd:39:f:2f:25:2:f5</boolMaskData></ROI></root>"
1004,56,3,393.87,347.35,48.48,400.36,370.24,70.92,387.39,324.45,22.22,0,1,0,"<root><DATA back_x=""387.39"" back_y=""324.45"" back_z=""22.22"" ear1_ratio=""0.75"" ear1_x=""401.89"" ear1_y=""357.33"" ear2_ratio=""0.71"" ear2_x=""391.78"" ear2_y=""358.33"" front_x=""400.36"" front_y=""370.24"" front_z=""70.92"" isLookingDown=""false"" isLookingUp=""true"" isRearing=""false"" mass_x=""393.87"" mass_y=""347.35"" mass_z=""48.48"" nose_ratio=""1.02"" nose_x=""400.6"" nose_y=""371.2"" t=""56""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>281</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>379</boundsX><boundsY>322</boundsY><boundsW>27</boundsW><boundsH>53</boundsH><boolMaskData>78:5e:d5:d2:49:e:c0:20:8:5:50:bc:ff:a5:4b:7:e5:c3:47:52:63:37:ed:a2:31:be:30:28:8a:8c:af:35:5b:fb:55:9b:92:ca:cc:2e:ca:52:de:c0:d4:f7:39:c:c5:c7:79:41:8b:62:c6:62:7d:26:6:f7:43:da:8d:a0:ac:b6:99:51:8a:6a:89:15:d5:70:f6:21:69:41:30:53:ea:4:de:4d:b4:3f:51:ec:bd:3a:b2:19:45:bd:22:e1:99:15:23:1b:29:b9:d8:26:15:6d:68:3f:d3:e7:41:6:73:8e:f6:5:b9:4e:7c:42:d7:e5:2:41:ca:18:5:29:99:46:dc:1a:3d:61:49:d0:b9:a5:17:ad:ff:3:90:b2:2:fe</boolMaskData></ROI></root>"
1005,57,3,395.38,348.09,55.8,402.98,371.45,69.2,387.78,324.73,21.2,0,1,0,"<root><DATA back_x=""387.78"" back_y=""324.73"" back_z=""21.2"" ear1_ratio=""0.73"" ear1_x=""403.75"" ear1_y=""357.25"" ear2_ratio=""0.7"" ear2_x=""393.52"" ear2_y=""359.08"" front_x=""402.98"" front_y=""371.45"" front_z=""69.2"" isLookingDown=""false"" isLookingUp=""true"" isRearing=""false"" mass_x=""395.38"" mass_y=""348.09"" mass_z=""55.8"" nose_ratio=""1"" nose_x=""403.14"" nose_y=""371.29"" t=""57""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>289</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>380</boundsX><boundsY>322</boundsY><boundsW>29</boundsW><boundsH>53</boundsH><boolMaskData>78:5e:ad:d4:db:e:80:30:8:3:50:f6:ff:3f:ed:8c:4e:a0:c5:ca:12:7d:d1:e4:d8:c1:2e:6a:b6:ae:31:9e:47:7e:50:38:3e:f0:8d:67:ee:bc:b8:98:d9:4d:85:ba:70:36:1b:38:61:a8:4b:96:a:17:ea:59:89:61:1e:eb:3d:5d:55:aa:c4:b8:8c:dc:53:3b:ca:1d:c7:ed:a1:81:db:48:e3:c6:64:dc:ef:ab:84:d4:bf:10:7a:ca:c3:6a:94:a:ab:d4:6f:17:97:37:25:11:d3:77:43:a8:8f:83:2b:7:e3:7:59:a8:f7:c4:d8:3e:d:18:95:13:95:eb:7:7f:f:b9:f4:70:cc:60:bf:b3:ee:61:3a:e:14:8d:ca:a8:d5:27:54:24:3d:ba:8d:33:70:e:3d:6f:7:dc:a5:2:f6</boolMaskData></ROI></root>"
1006,58,3,397.15,349.74,74.2,406.51,373.61,63.68,387.79,325.87,18.83,0,1,0,"<root><DATA back_x=""387.79"" back_y=""325.87"" back_z=""18.83"" ear1_ratio=""0.71"" ear1_x=""405.71"" ear1_y=""358"" ear2_ratio=""0.71"" ear2_x=""396.26"" ear2_y=""361.57"" front_x=""406.51"" front_y=""373.61"" front_z=""63.68"" isLookingDown=""false"" isLookingUp=""true"" isRearing=""false"" mass_x=""397.15"" mass_y=""349.74"" mass_z=""74.2"" nose_ratio=""0.99"" nose_x=""406.73"" nose_y=""372.82"" t=""58""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>293</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>381</boundsX><boundsY>324</boundsY><boundsW>31</boundsW><boundsH>53</boundsH><boolMaskData>78:5e:a5:92:51:e:c0:20:8:43:f1:fe:97:5e:d4:a8:b4:45:9:99:5f:66:6f:2d:5:31:5b:a7:ed:5b:70:69:fd:4:df:e7:a7:41:af:78:d2:b:5f:30:d2:37:73:54:f4:c0:b4:be:60:34:50:8c:dd:25:fc:1f:c6:be:86:d7:cf:ea:a8:4f:d2:69:79:7a:59:d1:27:e9:12:39:ef:d:d9:17:31:a7:67:39:f1:3a:f6:6:89:5a:76:3e:69:2d:cb:ce:83:7f:f:96:c3:bd:d5:4c:69:e9:2:ec:bb:ab:63:9f:4e:d5:98:5d:78:9:f3:54:f9:55:d8:bd:36:b7:cc:9d:39:bb:1b:fe:a0:18:78:80:2b:3c:92:3f:f7:b9:b:ce:7c:42:f9:e1:31:de:fc:82:67:1:b3:f:c3:e4:3:3</boolMaskData></ROI></root>"
1007,59,3,399.1,351.5,90.64,409.99,375.7,48.78,388.22,327.3,25.82,1,1,0,"<root><DATA back_x=""388.22"" back_y=""327.3"" back_z=""25.82"" ear1_ratio=""0.69"" ear1_x=""408.45"" ear1_y=""358.64"" ear2_ratio=""0.71"" ear2_x=""399"" ear2_y=""363.66"" front_x=""409.99"" front_y=""375.7"" front_z=""48.78"" isLookingDown=""false"" isLookingUp=""true"" isRearing=""true"" mass_x=""399.1"" mass_y=""351.5"" mass_z=""90.64"" nose_ratio=""0.98"" nose_x=""409.9"" nose_y=""374.4"" t=""59""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>299</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>382</boundsX><boundsY>324</boundsY><boundsW>34</boundsW><boundsH>55</boundsH><boolMaskData>78:5e:cd:d2:cb:e:80:20:c:44:d1:f2:ff:3f:ad:31:18:ed:dc:a9:20:71:a1:1b:1f:9c:4c:4b:31:a2:5f:ed:7c:28:ef:6d:44:da:48:ec:e0:99:1c:e0:81:f4:f5:da:dc:80:8b:49:cb:b6:d4:5f:44:ac:34:82:3:62:c8:4:c1:f:c0:94:31:81:e0:86:40:50:7:2:21:14:4a:8c:78:4f:5c:48:4e:b1:22:11:2b:f2:96:1d:91:a1:18:32:16:b2:61:93:31:31:12:3d:1d:a4:28:d8:df:c5:18:21:c4:89:4c:d6:44:6e:c4:64:e8:6e:48:de:b:1d:2a:e6:11:14:3a:32:43:b4:11:92:15:a1:ad:30:63:42:4c:fc:68:99:98:2a:c7:a7:db:f8:2b:72:99:52:7c:44:ce:98:ba:4e:6f:38:36:2d:a3:3:1d</boolMaskData></ROI></root>"
1008,60,3,402.2,354.76,91.6,416.51,379.56,22.9,387.9,329.97,25.0,1,1,0,"<root><DATA back_x=""387.9"" back_y=""329.97"" back_z=""25"" ear1_ratio=""0.65"" ear1_x=""410.93"" ear1_y=""359.93"" ear2_ratio=""0.67"" ear2_x=""401.93"" ear2_y=""365.98"" front_x=""416.51"" front_y=""379.56"" front_z=""22.9"" isLookingDown=""false"" isLookingUp=""true"" isRearing=""true"" mass_x=""402.2"" mass_y=""354.76"" mass_z=""91.6"" nose_ratio=""0.91"" nose_x=""413"" nose_y=""375.43"" t=""60""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>303</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>382</boundsX><boundsY>326</boundsY><boundsW>42</boundsW><boundsH>56</boundsH><boolMaskData>78:5e:bd:d4:5b:12:84:20:c:44:51:d9:ff:a6:47:86:97:e0:ed:90:58:a5:fe:68:e9:b1:49:32:8c:c7:51:8f:d4:2e:b6:e7:e4:a5:29:1f:db:b8:13:fc:a1:83:56:b7:97:1d:da:b1:13:b3:a:58:a1:ae:c0:2f:5b:d7:97:37:d4:ac:fc:a1:7e:19:58:fe:2b:aa:da:ef:1b:64:74:e7:a7:7e:69:6d:d5:65:ae:3a:74:9d:95:21:9f:53:2b:74:4e:b5:e4:e3:9e:22:83:d2:76:dd:aa:ba:d4:55:fa:33:3:52:fe:a5:6f:ab:9f:37:b8:56:92:4c:51:6:28:ae:8f:a1:28:d7:9d:97:df:64:f8:8a:84:50:b1:3a:48:59:2b:b6:8f:6d:b1:c4:11:0:cd:5f:23:2a:f7:46:33:c2:c1:be:21:ef:93:52:ab:7:64:69:f3:52:ae:cc:6c:3:69:56:f6:3e:26:57:69:89:c4:89:76:5b:68:29:7c:4:e0:55:2f:16:9f:4e:37:3:74:fc:8e:3f:48:ad:3:7a</boolMaskData></ROI></root>"
1009,61,3,403.52,356.5,89.88,418.7,381.34,26.3,388.34,331.65,26.47,1,1,0,"<root><DATA back_x=""388.34"" back_y=""331.65"" back_z=""26.47"" ear1_ratio=""0.65"" ear1_x=""412.94"" ear1_y=""361.31"" ear2_ratio=""0.66"" ear2_x=""403.28"" ear2_y=""367.47"" front_x=""418.7"" front_y=""381.34"" front_z=""26.3"" isLookingDown=""false"" isLookingUp=""true"" isRearing=""true"" mass_x=""403.52"" mass_y=""356.5"" mass_z=""89.88"" nose_ratio=""0.92"" nose_x=""415.55"" nose_y=""377.95"" t=""61""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>313</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>382</boundsX><boundsY>328</boundsY><boundsW>43</boundsW><boundsH>56</boundsH><boolMaskData>78:5e:bd:d3:d1:12:85:20:8:4:50:fd:ff:9f:be:3a:d4:88:b0:b:32:d5:ed:a5:c6:4e:cc:82:d6:da:75:f5:7e:3f:65:f7:3e:ae:cc:c8:fb:29:cf:ac:c8:13:7b:cb:a4:b0:62:49:8:2b:a3:10:ce:f2:39:38:ca:67:56:a0:ad:60:3d:e5:11:7c:5d:de:d9:df:ec:4b:11:6c:de:a0:6c:ab:58:33:df:42:d9:90:ee:11:42:5a:48:50:a0:6e:6:85:63:13:c5:b5:e7:31:b0:96:16:12:4:bf:af:ab:ca:cb:7a:3a:56:70:60:48:b1:c5:b4:62:61:4:5c:16:52:bb:b7:f2:e9:39:c5:d2:fd:36:b3:6c:81:32:fb:b8:31:52:d8:d7:9d:1d:c0:c0:88:ce:21:2:cc:28:b0:df:50:bf:b9:23:25:db:a:e9:41:5:e1:f4:ea:75:d9:94:ae:24:f2:4:a6:b5:96:f6:61:84:74:eb:30:96:fa:4c:66:52:d9:73:9a:4b:7d:a6:7e:13:2f:3:8a</boolMaskData></ROI></root>"
