id,process,version,date,tmin,tmax
1,"Build DataBase Index",0,"2026-02-16 17:56:44",0,-1
2,"Correct wrong animal",0,"2026-02-16 18:11:53",0,2592000
3,"Build Event Detection",0,"2026-02-16 18:37:01",0,2592000
4,"Build Event Oral Oral Contact",0,"2026-02-16 18:38:19",0,2592000
5,"Build Event Oral Genital Contact",0,"2026-02-16 18:39:16",0,2592000
6,"Build Event Side by side",0,"2026-02-16 18:40:19",0,2592000
7,"Build Event Side by side opposite",0,"2026-02-16 18:42:08",0,2592000
8,"Build Event Train2",0,"2026-02-16 18:53:02",0,2592000
9,"Build Event Train3",0,"2026-02-16 18:53:08",0,2592000
10,"Build Event Train4",0,"2026-02-16 18:53:08",0,2592000
11,"Build Event Move",0,"2026-02-16 18:59:22",0,2592000
12,FollowZone,0,"2026-02-16 19:20:46",0,2592000
13,"Build Event Rear5",0,"2026-02-16 19:23:12",0,2592000
14,"Build Event Center Zone",0,"2026-02-16 19:23:46",0,2592000
15,"Build Event Periphery Zone",0,"2026-02-16 19:23:46",0,2592000
16,"Build Event Rear in centerWindow",0,"2026-02-16 19:24:19",0,2592000
17,"Build Event Rear at periphery",0,"2026-02-16 19:24:19",0,2592000
18,"Build Event Social Approach",0,"2026-02-16 19:25:40",0,2592000
19,"Build Event Get Away",0,"2026-02-16 19:27:14",0,2592000
20,"Build Event Social Escape",0,"2026-02-16 19:29:27",0,2592000
21,"Build Event Approach Rear",0,"2026-02-16 19:46:07",0,2592000
22,"Build Event Group 2",0,"2026-02-16 19:47:28",0,2592000
23,"Build Event Group 3",0,"2026-02-16 19:48:07",0,2592000
24,"Build Event Group4",0,"2026-02-16 19:50:02",0,2592000
25,"Build Event Group3 Make Break",0,"2026-02-16 19:51:24",0,2592000
26,"Build Event Group4 Make Break",0,"2026-02-16 19:51:46",0,2592000
27,"Build Event Stop",0,"2026-02-16 19:57:28",0,2592000
28,"Build Event Approach Contact",0,"2026-02-16 19:59:12",0,2592000
29,"Build Event Oral Side Sequence",0,"2026-02-16 20:06:15",0,2592000
30,"Move high speed (30-300)",0,"2026-02-16 20:13:05",0,2592000
31,"Build Event longChase",0,"2026-02-16 20:15:16",0,2592000
32,"Correct wrong animal",0,"2026-02-16 20:15:18",2592000,5184000
33,"Build DataBase Index",0,"2026-02-18 10:36:28",0,-1
34,"Correct wrong animal",0,"2026-02-18 10:40:06",0,2592000
